ID	Species	Site	State	SpecificRegion	GeneralRegion	S_W_N	Year	Season	Sex	Eggs	suffix	old_ID	16S_Filtered	Isotope_data	Isotopes	MigratoryStatus
EA_F21_STMS_2	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_STMS_2_1.filt.fastq.gz	No	Yes	-83.90054	No
EA_F21_STMS_3	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	EA_F21_STMS_3_1.filt.fastq.gz	Yes	Yes	-72.98634	No
EA_F21_SUVA_1	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	no	ilt.fastq.gz	EA_F21_SUVA_1_1.filt.fastq.gz	No	Yes	-95.76459	No
EA_F21_SUVA_2	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_SUVA_2_1.filt.fastq.gz	Yes	Yes	-79.95352	No
EA_F21_SUVA_3	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_SUVA_3_1.filt.fastq.gz	Yes	Yes	-108.3256	Yes
EA_F21_TIGA_1	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_TIGA_1_1.filt.fastq.gz	No	Yes	-99.8556	Yes
EA_F21_TIGA_2	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_TIGA_2_1.filt.fastq.gz	No	Yes	-100.55014	Yes
EA_F21_TIGA_3	Eupeodes americanus	Tifton_GA	GA	FL	Southeast	South	2021	Fall	FM	no	ilt.fastq.gz	EA_F21_TIGA_3_1.filt.fastq.gz	No	Yes	-84.13528	No
EA_F21_URIL_1	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	yes	ilt.fastq.gz	EA_F21_URIL_1_1.filt.fastq.gz	Yes	Yes	-89.05151	No
EA_F21_URIL_2	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	EA_F21_URIL_2_1.filt.fastq.gz	No	Yes	-113.04339	No
EA_F21_URIL_3	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	FM	no	ilt.fastq.gz	EA_F21_URIL_3_1.filt.fastq.gz	Yes	Yes	-84.88306	No
EA_F21_URIL_6	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2021	Fall	M	no	ilt.fastq.gz	EA_F21_URIL_6_1.filt.fastq.gz	No	No	None	Unknown
EA_F22_ARTX_1	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_ARTX_1_1.filt.fastq.gz	Yes	Yes	-77.09555	No
EA_F22_ARTX_2	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	M	no	ilt.fastq.gz	EA_F22_ARTX_2_1.filt.fastq.gz	Yes	Yes	-70.53856	No
EA_F22_ARTX_3	Eupeodes americanus	Arlington_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_ARTX_3_1.filt.fastq.gz	No	Yes	-85.85353	No
EA_F22_ARWI_1	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_ARWI_1_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_ARWI_2	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_ARWI_2_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_ARWI_3	Eupeodes americanus	Arlington_WI	WI	Midwest	Midwest	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_ARWI_3_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_ATAL_1	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_ATAL_1_1.filt.fastq.gz	Yes	Yes	-72.71656	No
EA_F22_ATAL_3	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_ATAL_3_1.filt.fastq.gz	Yes	Yes	-147.33363	Yes
EA_F22_ATGA_11	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_ATGA_11_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_ATGA_12	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_ATGA_12_1.filt.fastq.gz	No	No	None	Unknown
EA_F22_BRSD_1	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_BRSD_1_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_BRSD_2	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_BRSD_2_1.filt.fastq.gz	No	No	None	Unknown
EA_F22_BRSD_3	Eupeodes americanus	Brookings_SD	SD	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_BRSD_3_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_CHIL_1	Eupeodes americanus	Chicago_IL	IL	Midwest	Midwest	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_CHIL_1_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_CHIL_2	Eupeodes americanus	Chicago_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_CHIL_2_1.filt.fastq.gz	No	No	None	Unknown
EA_F22_CLMN_1	Eupeodes americanus	Crane_Lake_MN	MN	WestCAN	FarNorth	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_CLMN_1_1.filt.fastq.gz	No	No	None	Unknown
EA_F22_DEMD_1	Eupeodes americanus	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_DEMD_1_1.filt.fastq.gz	No	Yes	-98.44116	No
EA_F22_DEMD_2	Eupeodes americanus	Derwood_MD	MD	EastApps	Northeast	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_DEMD_2_1.filt.fastq.gz	No	Yes	-107.0128	Maybe
EA_F22_DRON_1	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_DRON_1_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_DRON_2	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_DRON_2_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_DRON_3	Eupeodes americanus	Dryden_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_DRON_3_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_FWTX_1	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_FWTX_1_1.filt.fastq.gz	Yes	Yes	-62.11212	No
EA_F22_FWTX_2	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_FWTX_2_1.filt.fastq.gz	Yes	Yes	-137.40921	Yes
EA_F22_FWTX_3	Eupeodes americanus	Fort_Worth_TX	TX	TX	TX	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_FWTX_3_1.filt.fastq.gz	Yes	Yes	-92.61138	No
EA_F22_KEON_1	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_KEON_1_1.filt.fastq.gz	Yes	Yes	-163.13986	Unknown
EA_F22_KEON_2	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_KEON_2_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_KEON_3	Eupeodes americanus	Kenora_ONT	ONT	WestCAN	FarNorth	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_KEON_3_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_METN_1	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	no	ilt.fastq.gz	EA_F22_METN_1_1.filt.fastq.gz	Yes	Yes	-105.56564	Maybe
EA_F22_METN_2	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_METN_2_1.filt.fastq.gz	Yes	Yes	-84.77421	No
EA_F22_METN_3	Eupeodes americanus	Memphis_TN	TN	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_METN_3_1.filt.fastq.gz	Yes	Yes	-138.38084	Yes
EA_F22_MNIL_1	Eupeodes americanus	Monticello_IL	IL	Midwest	Midwest	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_MNIL_1_1.filt.fastq.gz	Yes	No	None	Unknown
EA_F22_STMS_1	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_STMS_1_1.filt.fastq.gz	Yes	Yes	-134.63635	Yes
EA_F22_STMS_2	Eupeodes americanus	Stoneville_MS	MS	WestApps	Southeast	South	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_STMS_2_1.filt.fastq.gz	Yes	Yes	-135.31703	Yes
EA_F22_SUVA_1	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_SUVA_1_1.filt.fastq.gz	No	Yes	-133.95686	Yes
EA_F22_SUVA_2	Eupeodes americanus	Suffolk_VA	VA	EastApps	Northeast	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_SUVA_2_1.filt.fastq.gz	Yes	Yes	-118.78793	Yes
EA_F22_URIL_1	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_URIL_1_1.filt.fastq.gz	No	Yes	-145.78427	Yes
EA_F22_URIL_2	Eupeodes americanus	Urbana_IL	IL	Midwest	Midwest	North	2022	Fall	FM	yes	ilt.fastq.gz	EA_F22_URIL_2_1.filt.fastq.gz	Yes	Yes	-135.78708	Maybe
EA_F22_WIVA_1	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_WIVA_1_1.filt.fastq.gz	No	Yes	-95.07242	No
EA_F22_WIVA_2	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_WIVA_2_1.filt.fastq.gz	No	Yes	-115.4595	Maybe
EA_F22_WIVA_3	Eupeodes americanus	Windchester_VA	VA	EastApps	Northeast	North	2022	Fall	M	no	ilt.fastq.gz	EA_F22_WIVA_3_1.filt.fastq.gz	Yes	Yes	-112.48569	Maybe
EA_S22_ATAL_1	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	EA_S22_ATAL_1_1.filt.fastq.gz	No	Yes	dropped	Unknown
EA_S22_ATAL_2	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	FM	no	ilt.fastq.gz	EA_S22_ATAL_2_1.filt.fastq.gz	No	Yes	-104.53875	Maybe
EA_S22_ATAL_3	Eupeodes americanus	Athens_AL	AL	WestApps	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	EA_S22_ATAL_3_1.filt.fastq.gz	No	Yes	-81.6375	No
EA_S22_ATGA_1	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	EA_S22_ATGA_1_1.filt.fastq.gz	Yes	Yes	-72.89875	No
EA_S22_ATGA_2	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	FM	yes	ilt.fastq.gz	EA_S22_ATGA_2_1.filt.fastq.gz	Yes	Yes	-78.035	No
EA_S22_ATGA_3	Eupeodes americanus	Athens_GA	GA	EastApps	Southeast	South	2022	Spring	M	no	ilt.fastq.gz	EA_S22_ATGA_3_1.filt.fastq.gz	No	Yes	-104.0175	Maybe
