"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV754","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Diplorickettsia",NA
"ASV755","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"ASV756","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV757","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces",NA
"ASV758","Bacteria","Actinobacteria","Actinobacteria","Sporichthyales","Sporichthyaceae","Longivirga",NA
"ASV759","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA
"ASV760","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA
"ASV762","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"ASV763","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV764","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV765","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Martelella","endophytica"
"ASV766","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV767","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","rubra"
"ASV768","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV769","Bacteria",NA,NA,NA,NA,NA,NA
"ASV770","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV771","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA
"ASV772","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae",NA,NA
"ASV773","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA
"ASV774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV775","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV778","Bacteria","Acidobacteria","Acidobacteria_Gp7","Gp7",NA,NA,NA
"ASV779","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Segetibacter",NA
"ASV780","Bacteria","Cyanobacteria/Chloroplast","Cyanobacteria",NA,NA,NA,NA
"ASV781","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",NA
"ASV782","Bacteria",NA,NA,NA,NA,NA,NA
"ASV783","Bacteria",NA,NA,NA,NA,NA,NA
"ASV784","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Povalibacter","uvarum"
"ASV785","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV786","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA
"ASV787","Bacteria",NA,NA,NA,NA,NA,NA
"ASV788","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"ASV790","Bacteria",NA,NA,NA,NA,NA,NA
"ASV791","Bacteria",NA,NA,NA,NA,NA,NA
"ASV792","Bacteria",NA,NA,NA,NA,NA,NA
"ASV793","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"ASV794","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae",NA,NA
"ASV795","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV796","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV797","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","polyaromaticivorans"
"ASV798","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius",NA
"ASV799","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae",NA,NA
"ASV800","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","endosymbiont"
"ASV801","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV802","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae",NA,NA
"ASV803","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV804","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae",NA,NA
"ASV805","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1",NA,NA
"ASV806","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"ASV807","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
